,Material_name,Count
0, Handout 1,1418
1, Handout 2,1447
2, Handout 3,1910
3, Handout4 PythonProgramming2,2098
4, Handout 5 - Flowcharts,1035
5, Handout 6,887
6, Handout 7,1209
7, Handout 8 - Functions,681
8, Handout 9,803
9, Handout 10 Modules,849
10, Handout 11 ,901
11, Handout 12,814
12, Handout13 ,1566
13, Handout 14,722
14, Lecture 1,289
15, Lecture 2,269
16, Lecture 3,221
17, Lecture 4,228
18, Lecture 5,176
19, Lecture 6,152
20, Lecture 7,155
21, Lecture 8,152
22, Lecture 9,0
23,Lecture 10,0
24,Lecture 13,0
25, Lecture 14,130
26, Lecture 15,129
27, Lecture 16,93
28, Lecture 17,80
29, Lecture 18,0
30, Lecture 19,0
31, Lecture 20,0
32, Lecture 21,0
33, Lecture 22,0
34, Lecture 23,0
